overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,image,style
5,True,"06 4, 2013",ALP49FBWT4I7V,1888861614,Lori,Very pleased with my purchase. Looks exactly like the picture and will look great on my cake. It definitely will sparkle.,Love it,1370304000,,,
4,True,"05 23, 2014",A1KPIZOCLB9FZ8,1888861614,BK Shopper,Very nicely crafted but too small. Am going to have to add some flowers or something to compensate for the size.,Nice but small,1400803200,,,
4,True,"05 9, 2014",A2W0FA06IYAYQE,1888861614,daninethequeen,still very pretty and well made...i am super picky so don't listen to me...*whispers* but it does look like the number 5...,"the ""s"" looks like a 5, kina",1399593600,,,
5,True,"04 20, 2014",A2PTZTCH2QUYBC,1888861614,Tammara,"I got this for our wedding cake, and it was everything even more on in person, I would recommend this to anyone.",Would recommend this to a friend!,1397952000,,,
4,True,"04 16, 2014",A2VNHGJ59N4Z90,1888861614,LaQuinta Alexander,It was just what I want to put at the top of my wedding cake. I love it & it's true to the picture.,Topper,1397606400,,,
1,True,"02 21, 2014",ATQL0XOLZNHZ4,1888861614,Brianna Small,"The S is beautiful, however upon checkout it informed me that it would be here by saturday at the latest (wedding was Sunday) it did not come in until monday AFTER the wedding.",shipping disaster,1392940800,,,
5,True,"12 1, 2013",A94ZG5CWN70E7,1888861614,trinette claude,Omg.. The S was inexpensive and EXACTLY what we wanted. I searched everywhere and this one was the best one.,Great quality for this product. I have never been more satisfied.,1385856000,,,
3,True,"11 6, 2013",A3QBT8YC3CZ7C9,1888861614,Rela1982,It was a nice size for a cake topper and it was very sparkley. I will purchase more products in the future from this source.,Great Buy.,1383696000,,,
5,True,"10 2, 2013",AGKW3A1RB1YGO,1888861614,"Marilyn Hatboro,Pa",Perfect!!! Can not wait to use on my Wedding cake in November good quality just the right about of bling,Very Pretty!!,1380672000,,,
5,True,"09 6, 2013",A1B65IWLUVOUQB,1888861614,KASmith,This was exactly what we were looking for to make our cake sparkle along with the strands of diamonds we already have on the cake!,Perfect!,1378425600,,,
5,True,"08 22, 2013",A34SURE2O1LJ4C,1888861614,Lara,This arrived in the mail and it was packaged so well so it doesn't break. It's so pretty and well worth my money! Can't wait to use it on my wedding cake :D,So pretty,1377129600,,,
5,True,"11 19, 2014",A1QVBUH9E1V6I8,4639725183,Jamshed Mathur,No adverse comment.,Five Stars,1416355200,,,
5,True,"11 10, 2014",A3F886P3E8L99T,4639725183,Bosshaug in Arizona,These are hard to find locally and Amazon has it for a good price.  I first tasted this tea in Costa Rica and loved it.,Wonderful tea and great price too!,1415577600,,,
5,True,"11 3, 2014",A2CHH5U12THP2D,4639725183,The Purple Bee,"Best black tea in US.

Highly recommend.
I use 3 bags in a large 16 oz glass mug with boiled water then add boiled milk & sugar. Oh my, it's wonderful. I wish I could drink it at night.",Best black tea in US,1414972800,2,,
5,True,"09 6, 2014",A29A6N9S9GDG6L,4639725183,Lake Cherokee,if you like strong flavorful tea you will enjoy this Yellow Label,Five Stars,1409961600,,,
5,True,"05 21, 2014",A378HXZATS9HKM,4639725183,old patty,"I first tasted this tea in the Far East and really loved the flavor of the tea - I was disappointed not to find it on grocery shelves but was so glad that it is offered by Amazon. It has a fresh, clean aroma and anyone who likes tea should try it.",Great Tea flavor,1400630400,2,,
5,True,"03 23, 2014",A2ZSQ8Y53ZNQK1,4639725183,Charles L. Mitsakos,"Truly the finest tea bags in the world.  Not  available in super markets in the United States. Try them once and you'll get hooked.  A+ from a retired college professor who can't stop giving grades.

Dr. Charles L. Mitsakos",A+!,1395532800,5,,
4,False,"02 8, 2014",A21ZU2TINEQE0H,4639725183,Ken,Tried this while overseas last year; don't remember exactly where since we were on a whirlwind tour of four countries.  I would guess it was in a Bangkok or Kuala Lumpur hotel.  Couldn't find same brand at CostCo or the supermarkets here that we shop at.  Price @ Amazon is a lot more than regular Lipton brand but tempted to order anyway.,Yellow Label Lipton Tea,1391817600,2,,
5,True,"01 7, 2014",AFSBZNN8WDE8E,4639725183,tw7424,"We first came across Lipton Yellow Label Tea on a trip to France many years ago.  It became a favorite tea when we travel, and we found it from China to Dubai to Europe.  We live in a small town and, of course, could not find it on local grocery or tea shop shelves.  We always buy boxes of it when we travel, but were delighted to see it for sale on Amazon.  The flavor is light and clean.",A great tea,1389052800,,,
5,True,"12 29, 2013",A1XWZJZLZTMCWK,4639725183,Tom S.,"I first tasted it in Caracas on a business trip to South America.  I immediately tasted the difference between this and the usual Lipton''s that they sell in the States.  This is so much better.  No bitterness and a great aftertaste.  I bought some on my next trip back.  I contacted Lipton's about why they didn't sell it in the States, and they said it was only for the Latin America region.  (This was 15 years ago.)  They could not even get the Yellow Label in London.  So I started to get it through internet suppliers.  When my favorite went out of business, I went back to my old stand-by, Amazon.  I have been getting this from them since.  Everyone that I have taste this falls in love with it.  It is SO MUCH better than the standard Lipton tea.  Buy this.  If you love black tea, you must.",Best Black Tea,1388275200,11,,
5,True,"10 18, 2012",ALWLI4F2NVU76,4639725183,Tesa D James,"I discovered yellow tea while on vacation in Thialand. I drink it daily now instead of coffee.  In the summer, it makes a great sun tea.",Only tea I will drink,1350518400,2,,
5,True,"12 15, 2016",A176WM7L6BC8VF,4639725183,E. H. Ellis,Good stuff.  The tea I remember of 50-60 years ago...still has flavor!,Good stuff. The tea I remember of 50-60 years ...,1481760000,,,
1,True,"12 10, 2016",AE937MVR5J8OL,4639725183,Y. Vue,Tasted old and not individually bag,One Star,1481328000,,,
5,True,"11 24, 2016",A31WAC360ICIIG,4639725183,arvind kumar panjwani,Addicted to this tea really strong taste love it,Five Stars,1479945600,,,
5,True,"11 24, 2016",A34VFSD6GUZWXL,4639725183,AliB,"Best.tea.ever.
I first had this in France, and it is not readily available here except online. It is not marketed in the US by Lipton, it must be bought from third party sellers, and it is NOTHING like the American market Lipton tea; very round flavor, much smoother, very subtle richness. Highly recommended!","Best.tea.ever, nothing like the American Lipton tea!",1479945600,,,
5,True,"10 13, 2016",A3GEOILWLK86XM,4639725183,itsjustme,Gift for college student.,Great product.,1476316800,,,
5,True,"09 16, 2016",A20X1MP3ZO9A4Q,4639725183,Wigglesworth,"I first started drinking this in the Middle East, and was impressed with how much better it tasted than the old Lipton Orange Pekoe Tea I abandoned years ago. I am glad to see this is available here in the States.","The best Lipton tea, now available in the States.",1473984000,,,
1,True,"09 10, 2016",A27LF8222OIRRN,4639725183,Racer Girl,Not the great taste everyone was talking about :(,One Star,1473465600,,,
5,False,"08 20, 2016",ASHNCWJCDRM1V,4639725183,Amazon Customer,First had it Hungary many years ago. I was bummed that I couldn't find it in the US. Wonderful full bodied black tea making a perfect cup every single time it's made!,Wonderful full bodied black tea making a perfect cup every ...,1471651200,,,
5,True,"07 31, 2016",A343UW14S8GRAW,4639725183,Christy N.,Really good.  Really was not expecting so much when ordering two quantities.  Enough to share!!,Great Tea with Milk and Sugar!!,1469923200,,,
5,True,"07 22, 2016",A322WNKPG8QT71,4639725183,DaGama,"Love this tea, there are no oils released at brewing making for a smooth brew that tastes the way I like it.  This tea is not offered in stores in the U.S. from what I've read",Love this tea,1469145600,,,
5,True,"06 15, 2016",A18M7WCCT7G43K,4639725183,CH in NY,"Not your usual Liptons. This tea has a deep rich flavor, and a slight reddish hue, and is altogether my favorite--too bad it does not come in decaf for later in the day....",Yum,1465948800,,,
5,True,"06 10, 2016",A13W40MYGIET1I,4639725183,gary beaubien,GREAT TEA,Five Stars,1465516800,,,
5,True,"02 16, 2016",A3HQLF1A6AIXVU,4639725183,Band Mom,Always the best!,Five Stars,1455580800,,,
5,True,"12 19, 2015",A2WWYCM0JNK6RM,4639725183,Jersey Girl,I was skeptical about this tea at first but after a few weeks I've realized the difference !  This tea is never bitter.  I brew longer because I like strong tea and it never gets that over brewed taste.  I would highly recommend for tea lovers.  Especially for the price!,TEALICIOUS,1450483200,,,
5,True,"11 21, 2015",A32RD6L701BIGP,4639725183,Krystal Clifton,"If you like strong tea, this is for you. It might even be a little too strong for me.",Strong,1448064000,,,
5,True,"10 15, 2015",A1JPGRML2USVW,4639725183,Dr. Kabbashi,"Wow, new flavor in the block. This is the real tea that I was looking for. When I received this from Amazon and I drank my first cup I sweat and felt really the effect on my whole body specially my head. It has a direct effects on my way of thinking. I love it! I will never drink any other tea, but this one!","Wow, this is outstanding!",1444867200,2,,
1,True,"09 25, 2015",A34RH95REHOQFO,4639725183,MB,Terrible. What a waste of money. This is not the european or asian brand.,One Star,1443139200,,,
4,True,"09 21, 2015",A19TFNGQV7GPSX,4639725183,Kimberly S,"Just so everyone knows, this IS the orange pekoe variety. I bought this under the impression that it was just plain black tea, but since I enjoy orange pekoe - I'm not that angry about it. I won't be buying from this seller again though.",It's actually orange pekoe,1442793600,2,,
5,True,"09 10, 2015",A1XFO7W0OSFU9U,4639725183,James N. Miller,Best tea available in the U.S.,You must try.,1441843200,,,
3,True,"08 23, 2015",A165AME4SLYDWD,4639725183,3-Time-Dad,"Same product and name as the tea I've bought at the the local Indian grocery in Edison, NJ, but not the same flavor.  A bit of research with Lipton revealed that it was blended and packaged in a different market.  Live and learn.",Not All Yellow Label Is The Same...,1440288000,3,,
5,True,"08 19, 2015",AKZI4W55IJZLA,4639725183,troy hargot,Love this tea!,Five Stars,1439942400,,,
5,True,"08 12, 2015",A2UY1O1FBGKIE6,4639725183,U. Kane,Love the tea. The flavor is way better than the regular Lipton black tea. Definetly worth the money.,Great tea,1439337600,,,
5,True,"05 28, 2015",A3QHVBQYDV7Z6U,4639725183,The Nana,"I have searched everywhere until I browsed Amazon and found it!  This is the tea Lipton should be selling on grocery store shelves.  The stuff I last purchased is just awful, and nowhere near as good as I remember.",This is the tea I remembered!,1432771200,,,
5,True,"05 17, 2015",AK2I1ZM2NLN2J,4639725183,Dickalyn Joy Porter,"What is not to like about this product?  It has the rich, full bodied flavor of the Lipton tea of long, long ago.  If you are a weak tea drinker (i.e. 1 to 4 dunks of the bag into your cup of water), buy the regular Lipton black tea.  If you like a strong rich flavored product, spend a bit more and purchase this Yellow label tea.  I do not believe you will be disappointed.",What is not to like about this product,1431820800,,,
4,True,"05 9, 2015",A14MJZP7H1KHEX,4639725183,Carol Ann Nix,Tea made with Lipton Yellow Label teabags is much better than tea made with regular Lipton teabags.,Four Stars,1431129600,,,
2,True,"05 7, 2015",A1EDAUU1B7YGTD,4639725183,Stanley C. Lo,Mediocre taste and not like the yellow label from Canada.,Mediocre taste,1430956800,,,
