overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image
5,2.0,True,"08 31, 2010",A3NSN9WOX8470M,0006564224,mmm,"I don't use these for their original use, and in 1988 I purchased 2 and have needed replacements for the last year.  I never even thought of using the Internet to find new ones but to my pleasant surprise I found them immediately and actually paid LESS for them than I did in 1988!",Many uses...,1283212800,,
5,2.0,True,"04 2, 2010",A2AMX0AJ2BUDNV,0006564224,John R. Welch,"Seems a bit expensive for a plastic bottle, but I couldn't find better value on the Internet. Product performs as advertised. Very fast response from this supplier.",Dispenser bottle,1270166400,,
5,,True,"11 5, 2015",A8LUWTIPU9CZB,0560467893,Linda Fahner,"Great product, love it!!",Five Stars,1446681600,,
4,4.0,True,"10 29, 2015",AABKIIHAL0L66,0560467893,TheBlueChain,"This is a sturdy floating corner shelf!  We mounted a TV on the wall in the corner of the room and needed a shelf for the cable box. This product is perfect for our needs! We had to cut down the rear corner for the wires to run up the wall behind this shelf, but that wasn't an issue with the product itself. It looks great!  I'm giving it 4 stars because the enclosed instructions weren't very helpful at all. Thankfully my husband is good at handyman type things, so he was able to figure it out.","Sturdy Shelf, Poor Installation Instructions",1446076800,,
3,,True,"09 9, 2015",A3DA0KIQ5OBK5C,0560467893,angelaarden,"I purchased 4 of these shelves. they look great. Thought they were wood. I guess I didn't read thoroughly. Anyway, that didn't matter to me, as they look real nice and were the size I was looking for. I gave them 3 stars as one of my shelves is coming apart at one end. I have used these less than 4 months. They all have way less than 30 lbs on them. It may be a minor issue and just a bad one as the others are great - no issues. My husband is going to try and glue and clamp it.",Look great - one bad one...,1441756800,,
1,,True,"08 23, 2015",A32IGEYSCMEMOD,0560467893,love,I truly wanted to like this item.  It fell apart while I was installing it with a screwdriver.,One Star,1440288000,,
3,2.0,True,"05 7, 2015",A3B6GKQQ1JJ167,0560467893,Harry Slaughter,"Pretty flimsy, but does the job. If your corner is not square and flat, the shelves will probably not end up level. These shelves should probably be going for half the price.",Meh,1430956800,,
3,9.0,True,"12 31, 2014",A2OEROVWM53QR7,0560467893,Ken,"Note, the way this shelf mounts to the wall is nothing like the instructions say. it's not very difficult to figure out, but it's a completely different mounting system than the picture.",mounting instructions need to be updated,1419984000,,
5,3.0,True,"12 15, 2014",A3VKOWFHJUAAHE,0560467893,Trayson H.,"It's a shelf.  it was inexpensive and holds a 19"" flatscreen TV without exposed braces.",It's a shelf. it was inexpensive and holds a ...,1418601600,,
2,2.0,True,"12 5, 2014",A19CYDS573LII9,0560467893,Carolyn C Cook,Instructions are wrong and it is not very sturdy.,Two Stars,1417737600,,
5,3.0,False,"01 23, 2010",A3T2DUQAOSS5JW,0681795107,S. Scales,"This mug comes in a variety of colors most of which are hard to find on Amazon, easy to find on the seller's website but not easy to order. It's worth the effort of figuring out how to place the order though, as this mug keeps tea hot for a good couple of hours, and even longer if left in a sunny car. I have tried a variety of different travel mugs of similar size and this one is by far the best for not retaining the flavor of the previous cup of tea thanks to its metal instead of plastic interior. Additionally it is better designed, fitting nicely in the car cup-holder and having a flat lid that doesn't poke your nose every time you take a sip, and allows you to close the hole in the lid by sliding the cover with your teeth so you don't have to take both hands off the wheel while driving. The only minor quibble is that the sliding cover is a little hard to clean underneath (by hand, we don't use a dish-washer for anything) - this is not a problem for black or fruit teas, but if you take milk, a gunge can build up once in a while. Timolino addressed this problem in their version 2.0 mug by making the cover un-clippable for easier washing, but unfortunately also modified the rest of the lid so that now it has a big lip like other mugs, making it hard to sip, and also added more weight to the top of the mug with unnecessary extra plastic and a thicker handle. The best would be to revert to this version 1.0 mug and just make the sliding cover un-clippable.",Best travel mug ever,1264204800,,
