review_id,user_id,business_id,stars,useful,funny,cool,text,date,sentiment,archetype,value_signals,affordability,durability,service_quality,social_proof,time_efficiency,ambience,food_quality,electronics,fashion,books_media,convenience,social_experience,luxury,positive_exaggeration,negative_exaggeration,uncertainty,categories,cuisines,review_length,exclamation_count,question_count,uppercase_ratio,storytelling_score,slang_score,nigerian_style,soft_life,casual_slang,pidgin_staples,exclamations,social_enjoyment,expressiveness,proverbs,idioms,greetings,figurative_descriptions,conditional_phrases,persuasion,blame_criticism,humour_sarcasm,cultural_references,practical_survival,time_efficiency,naija_narrative,hyperbole_narrative,kinship,oral_connectors
6Vf1MkxDPrTcnuKYUldjFw,-EX1hrPRBqNkVavtMllTCA,agK5cXwnBQozM2M-5kLvzw,1,8,2,2,"We had food from this ""restaurant"" delivered to our office for a luncheon.  Big mistake.  Several orders screwed up.  Fried chicken and waffles were tasteless.  Tomato soup too salty.  And they managed to even screw up salads.  Imagine that.  Avoid like the plague.",2011-12-15 12:02:27,-0.3,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 0, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 2, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Italian, American (Traditional), Restaurants, Breakfast & Brunch, Comfort Food, Sandwiches, Bakeries, Food, Beer, Wine & Spirits","['Italian', 'American']",265,0,0,0.03018867924528302,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 17, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 16, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aninptga9OOZsmi5gFNAjQ,-EX1hrPRBqNkVavtMllTCA,XnVmNQdmyhdCC90FRY9ZJQ,5,0,0,0,"Had our Christmas party here this year.  The service was top notch, the food came out right on time, and the steak was HEAVENLY.  The sides were excellent.  Definitely worth the trip!",2011-12-16 23:14:10,0.5401785714285714,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 1, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 0, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 1, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Restaurants, Steakhouses, Seafood, Nightlife, Bars, American (Traditional), Wine Bars","['American', 'Seafood', 'Bars']",183,1,0,0.07103825136612021,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 8, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 8, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EiPqGnP5SRapBaOkvZJAug,-EX1hrPRBqNkVavtMllTCA,GBTPC53ZrG1ZBY3DT8Mbcw,4,1,0,1,"Went here on a lark, basically.  I had enough of C list luncheries and wanted something a bit better.  I ended up getting a Luke Burger and devoured it in moments.

The service was top notch.  My waiter, Richard, was always attentive and even made a glass of sweet tea for me! (Note: they serve only unsweet tea)  Earned him a 25% tip for that.

It will be a good bit before I try it again, as the average price for a meal is $16, but when I want treat myself to a delectable burger I'll come here.",2012-02-04 17:10:19,0.29843749999999997,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 3, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 1, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch","['American', 'French', 'Seafood', 'Bars']",498,1,0,0.030120481927710843,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 19, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 19, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pL3LWEwcqaTLaa7c4o860A,-EX1hrPRBqNkVavtMllTCA,-9yzQQ0d_rcOD2CzdTNO_Q,5,1,1,2,"This is one of the ""retro"" McDonald's and it's one of the better ones in New Orleans East.  The place is always clean, always busy, and the employees are friendly.  The orders also are filled quickly, always a plus especially in the mornings.",2012-02-07 18:27:15,0.27642045454545455,Harsh Critic,"{'affordability': 0, 'durability': 1, 'service_quality': 1, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 0, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fast Food, Restaurants, Coffee & Tea, Food, Burgers",['Burgers'],242,0,0,0.03305785123966942,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 13, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 12, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46Z1SVg6VJygnN3O95cFsw,-EX1hrPRBqNkVavtMllTCA,FEFi0AmjHzgSceeLYW3Glw,2,0,0,0,"This location is inconsistent.  Sometimes it bats it out of the park, and then there are times that the batter must be blind because of the misses.

This location has a dual drive thru and that does cause some confusion when you get to the first window.  Don't bother coming here in the mornings, because the lines will be long (both inside and out) and the service inside is slow.",2012-02-07 18:49:57,-0.15000000000000002,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 1, 'social_proof': 0, 'time_efficiency': 1, 'ambience': 0, 'food_quality': 0, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 2, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,"Food, Burgers, Coffee & Tea, Fast Food, Restaurants",['Burgers'],381,0,0,0.010498687664041995,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 25, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 24, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 1, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4GT-I_4IB1y5DtPPQKAMCA,-EX1hrPRBqNkVavtMllTCA,HhD8DLES5ZeULKDXmfkOOg,5,2,0,0,"I am currently listing to port as I type this.  You'll have to forgive me, I had a Big Jack for lunch.

I was hesitant to try this place out, as I had heard wildly conflicting reviews about it.  But, it was my co-worker's ""last day"" luncheon and she wanted a burger.  So, we all trooped down there.

Word to the wise, either go really early (we had a twenty minute wait when we got there at 11:30) or go really late (it was half full at 12:45 p.m.)  

Our food was delicious.  The Big Jack was, well, big and tasty as all Hell.  The fries were hot.  My co-worker couldn't finish her BBQ burger and had to take it home.

One giant plus, our waitress was more than accommodating when it came to splitting up the check.  That's means a lot, since most places get snippy when you ask for separate checks.

All in all, try it out.  You won't be disappointed.",2012-02-09 19:06:19,0.11820987654320987,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 1, 'social_proof': 0, 'time_efficiency': 2, 'ambience': 0, 'food_quality': 1, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,"Nightlife, Restaurants, Sports Bars, Bars, Burgers, Sandwiches, American (Traditional), Cajun/Creole","['American', 'Burgers', 'Bars']",853,0,0,0.029308323563892145,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 47, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 47, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 2, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,47,0,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0PKXdyiK8Ax1f6pqmpwk5Q,-EX1hrPRBqNkVavtMllTCA,YUtYV7iXqiUX19gFBiy9SQ,2,8,0,0,"Used to love to eat here when I was in high school, but when I returned after a bit neither the food nor the service kept up.  The pizza's bland, greasy, and flavorless and the pricing for some of their offerings are off the wall expensive for what they offer in quality.  Avoid.",2012-02-09 19:28:51,-0.0016666666666666496,Harsh Critic,"{'affordability': 1, 'durability': 1, 'service_quality': 1, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 1, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Sandwiches, Restaurants, Pizza, Cajun/Creole",['Pizza'],279,0,0,0.017921146953405017,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 17, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 17, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 1, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uXfd9ak0r-JKqPCi_LuGCw,-EX1hrPRBqNkVavtMllTCA,C6YaSrMAzy3jJqinlFVudw,5,2,0,1,"If you're looking for excellent food, HUGE portions, and quick turnaround then this is the place to eat when you're in the CBD.  The quality of the food is in direct proportion to the price.  You get what you pay for here!  I never turn down a request to go here for lunch.  

People who list a ""con"" about this place fills up fast really mean it's a ""pro"".  I find a place that is wall to wall busy indicative of a good place to eat.  If it's completely dead, it's usually a tell that the place sucks.  That's not the case here.",2012-02-16 22:17:35,0.13668981481481476,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 0, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 0, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 2, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 1, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,"Delis, Event Planning & Services, Restaurants, Breakfast & Brunch, Sandwiches, Caterers",[],529,1,0,0.02835538752362949,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 38, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 37, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,38,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0QEZ5f5GRZTk6FAV8O9omA,-EX1hrPRBqNkVavtMllTCA,jjMdu96R_7YV4qKsjRA2Gg,4,2,1,2,"I hit this location intermittently, usually when I'm coming home from work on the weekends or when we close the office early. My usual is a Roadhouse Burger and a large order of the seasoned fries.  

I have no complaints about this store, the staff is always nice to me and I've never gotten a wrong order yet from here.  If you're in the area, and you want something other than the King or Mickey D's, try them out.",2012-02-21 22:02:19,0.004910714285714282,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 1, 'social_proof': 0, 'time_efficiency': 1, 'ambience': 0, 'food_quality': 0, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 1, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"Restaurants, Burgers, Fast Food",['Burgers'],417,0,0,0.026378896882494004,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 30, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 30, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 1, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oiplrv6dne2bKKtNesPorQ,-EX1hrPRBqNkVavtMllTCA,G7G1QTVugC-jOwYkqs-UKg,1,1,0,0,"Ate here all of once and that was enough.

The place was far from busy, but our waitress was far from helpful.  Why attend a three person table when you can chat up the all male table catty corner to us?  The food was all right.

I notified corporate and nothing happened.  A place that doesn't even bother to respond to your concerns, but seems quite fine in throwing coupons your way to drum up business will NOT get it from me.  Avoid.  There are better places to eat.",2012-02-23 19:39:16,0.16693121693121693,Harsh Critic,"{'affordability': 0, 'durability': 0, 'service_quality': 2, 'social_proof': 0, 'time_efficiency': 0, 'ambience': 0, 'food_quality': 0, 'electronics': 0, 'fashion': 0, 'books_media': 0, 'convenience': 0, 'social_experience': 0, 'luxury': 0, 'positive_exaggeration': 0, 'negative_exaggeration': 0, 'uncertainty': 0}",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Food, Restaurants, Beer, Wine & Spirits, Pizza",['Pizza'],471,0,1,0.02335456475583864,0,0,"{'soft_life': 0, 'casual_slang': 0, 'pidgin_staples': 32, 'exclamations': 0, 'social_enjoyment': 0, 'expressiveness': 33, 'proverbs': 0, 'idioms': 0, 'greetings': 0, 'figurative_descriptions': 0, 'conditional_phrases': 0, 'persuasion': 0, 'blame_criticism': 0, 'humour_sarcasm': 0, 'cultural_references': 0, 'practical_survival': 0, 'time_efficiency': 0, 'naija_narrative': 0, 'hyperbole_narrative': 0, 'kinship': 0, 'oral_connectors': 0}",0,0,32,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
